,BaselineSpecies,InulinResponder,Spearman
0,Bacteroides,Bacteroides-acidifaciens,-0.7481940144478844
1,Bacteroides,Muribaculaceae,-0.3560371517027864
2,Bacteroides,Faecalibaculum,0.45510835913312697
3,Bacteroides,Parasutterella,0.653250773993808
4,Bacteroides,Bacteroides,0.5975232198142414
5,Desulfovibrionaceae,Bacteroides-acidifaciens,0.17965929084959162
6,Desulfovibrionaceae,Muribaculaceae,0.6845638496165475
7,Desulfovibrionaceae,Faecalibaculum,-0.3314404158776949
8,Desulfovibrionaceae,Parasutterella,-0.4326278325630971
9,Desulfovibrionaceae,Bacteroides,-0.5606608904099325
10,Faecalibaculum,Bacteroides-acidifaciens,-0.11248710010319916
11,Faecalibaculum,Muribaculaceae,0.17027863777089783
12,Faecalibaculum,Faecalibaculum,0.27347781217750256
13,Faecalibaculum,Parasutterella,0.16202270381836945
14,Faecalibaculum,Bacteroides,-0.28998968008255926
15,Muribaculaceae,Bacteroides-acidifaciens,0.7192982456140351
16,Muribaculaceae,Muribaculaceae,0.5232198142414861
17,Muribaculaceae,Faecalibaculum,-0.28792569659442724
18,Muribaculaceae,Parasutterella,-0.5541795665634675
19,Muribaculaceae,Bacteroides,-0.5500515995872033
20,Parabacteroides-goldsteinii,Bacteroides-acidifaciens,-0.3106295149638803
21,Parabacteroides-goldsteinii,Muribaculaceae,-0.9256965944272446
22,Parabacteroides-goldsteinii,Faecalibaculum,-0.0196078431372549
23,Parabacteroides-goldsteinii,Parasutterella,0.27347781217750256
24,Parabacteroides-goldsteinii,Bacteroides,0.8101135190918473
