Variable,P_ind_corrected,P_rsp_corrected,meanAbsab_ratio
Lachnospiraceae-bacterium-28-4,5e-05,0.015523404,0.123062434
Family-XIII-AD3011-group,5.85e-06,9.499999999999999e-05,0.13617238199999998
Rikenella,5.85e-06,0.0060799999999999995,0.163568832
Negativibacillus,9.65e-06,0.00010729399999999999,0.18519186699999998
Parabacteroides,5.85e-06,0.019,0.257411194
Anaerovorax,5.85e-06,0.0014539129999999998,0.293811537
[Eubacterium]-xylanophilum-group,5.85e-06,0.002171429,0.303911955
UBA1819,0.0027794290000000004,0.033295238,0.342614009
Candidatus-Saccharimonas,0.006843979,0.025333333,0.35105807299999997
Rikenellaceae-RC9-gut-group,5.85e-06,0.008156098,0.391495516
Desulfovibrio-fairfieldensis,5.85e-06,0.011054545,0.39748464200000005
[Eubacterium]-nodatum-group,5.85e-06,0.008685714,0.40328616700000003
Clostridiales-bacterium-CIEAF-012,0.000596078,0.00285,0.433470048
Clostridia-vadinBB60-group,5.85e-06,0.023969231,0.45021419700000004
Christensenellaceae,7.509999999999998e-05,0.00021955599999999998,0.469705655
Bacteroides-nordii,0.0026358379999999997,0.015523404,0.47023225799999996
Blautia,5.85e-06,0.023969231,0.509097775
Alistipes,5.85e-06,0.006235897,0.533614746
Clostridium-sensu-stricto-1,0.00010604700000000001,0.042375758,0.5373357529999999
Odoribacter,1.3000000000000001e-05,0.006235897,0.5718986110000001
Ruminococcaceae,9.65e-06,6.08e-05,0.582515805
Colidextribacter,5.85e-06,0.028228571,0.807384054
Tuzzerella,0.002171429,0.041325,0.889095892
NK4A214-group,0.001413953,0.00032,1.017438285
Desulfovibrio,0.005258378,0.000579048,1.1039773240000001
[Clostridium]-leptum,0.008033161,0.046280597,1.854686852
Bacteroides,2.9600000000000005e-05,0.004974545,2.301737815
Alloprevotella,0.0027794290000000004,0.0020266670000000002,2.412437283
Lachnospiraceae-NK4A136-group,0.000596078,0.014862222,2.450771188
mouse-gut-metagenome,0.0034350279999999997,0.0288,2.752823723
Alistipes-shahii,0.00010604700000000001,0.00285,3.635902708
Bacteroides-acidifaciens,0.000836697,2.17e-05,3.649152045
Bacteroides-caecimuris,0.027866667,0.001105455,4.672143147
Faecalibaculum,9.65e-06,2.17e-05,5.179565478
Christensenella-sp.-Marseille-P2437,0.00150922,0.033295238,5.854557951
Prevotellaceae-UCG-001,0.000596078,0.002171429,6.680256991
Muribaculaceae,0.000836697,2.17e-05,7.973035771
Bacteria,0.000836697,0.00285,8.578159377
Parasutterella,7.509999999999998e-05,2.17e-05,9.543657965
Gastranaerophilales,0.00035957,0.006235897,10.365477199999999
Muribaculum,5.85e-06,0.00285,10.87854687
Akkermansia-muciniphila,5.85e-06,2.17e-05,14.58758271
Bifidobacterium-choerinum,0.000330435,0.027083636,14.77181494
Tannerellaceae,9.65e-06,0.002171429,15.80675986
Bacteroides-uniformis,0.00450989,0.0060799999999999995,44.59095273
Coriobacteriaceae-UCG-002,5.85e-06,2.17e-05,51.60391787
Frisingicoccus,0.004198895,0.042375758,88.21500479
